Team,Year,Season,Sport,Event,Medal
France,1924,Summer,Athletics,Athletics Men's High Jump,Bronze
West Germany,1968,Summer,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
West Germany,1972,Summer,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Bronze
West Germany,1984,Summer,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
West Germany,1984,Summer,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze
Sweden,1920,Summer,Equestrianism,"Equestrianism Men's Jumping, Individual",Bronze
Sweden,1924,Summer,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Silver
Sweden,1912,Summer,Equestrianism,"Equestrianism Men's Jumping, Team",Gold
Netherlands,1996,Summer,Hockey,Hockey Women's Hockey,Bronze
United States,1984,Summer,Rowing,Rowing Men's Double Sculls,Gold
United States,2000,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
United States,1984,Summer,Athletics,Athletics Men's 100 metres,Gold
United States,1984,Summer,Athletics,Athletics Men's 200 metres,Gold
United States,1984,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
United States,1984,Summer,Athletics,Athletics Men's Long Jump,Gold
United States,1988,Summer,Athletics,Athletics Men's 100 metres,Gold
United States,1988,Summer,Athletics,Athletics Men's 200 metres,Silver
United States,1988,Summer,Athletics,Athletics Men's Long Jump,Gold
United States,1992,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
United States,1992,Summer,Athletics,Athletics Men's Long Jump,Gold
United States,1996,Summer,Athletics,Athletics Men's Long Jump,Gold
United States,1976,Summer,Basketball,Basketball Women's Basketball,Silver
Australia,2004,Summer,Baseball,Baseball Men's Baseball,Silver
Great Britain,1996,Summer,Athletics,Athletics Women's Heptathlon,Bronze
Great Britain,2000,Summer,Athletics,Athletics Women's Heptathlon,Gold
Canada,1924,Summer,Boxing,Boxing Men's Welterweight,Bronze
United States,1936,Summer,Wrestling,"Wrestling Men's Welterweight, Freestyle",Gold
Australia,1992,Summer,Swimming,Swimming Women's 400 metres Freestyle,Bronze
Australia,1992,Summer,Swimming,Swimming Women's 800 metres Freestyle,Silver
Canada,1988,Summer,Boxing,Boxing Men's Super-Heavyweight,Gold
Canada,2008,Summer,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
Australia,1992,Summer,Hockey,Hockey Men's Hockey,Silver
Australia,1996,Summer,Hockey,Hockey Men's Hockey,Bronze
United States,1984,Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
Canada,1932,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
South Africa,1912,Summer,Cycling,"Cycling Men's Road Race, Individual",Gold
United States,1988,Summer,Athletics,Athletics Men's 400 metres,Gold
United States,1988,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
United States,1992,Summer,Athletics,Athletics Men's 400 metres,Silver
United States,1992,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Toronto Argonauts,1908,Summer,Rowing,Rowing Men's Coxed Eights,Bronze
Great Britain,2004,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
Deutscher Schwimm Verband Berlin,1900,Summer,Swimming,Swimming Men's 200 metres Team Swimming,Gold
Sweden,1948,Summer,Athletics,Athletics Women's Long Jump,Bronze
France,2016,Summer,Handball,Handball Women's Handball,Silver
United States,2012,Summer,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
United States,2016,Summer,Gymnastics,Gymnastics Men's Parallel Bars,Silver
United States,2016,Summer,Gymnastics,Gymnastics Men's Horizontal Bar,Silver
United States,2000,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
United States,2000,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
United States,2004,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
United States,2004,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
United States,2008,Summer,Swimming,Swimming Men's 100 metres Freestyle,Bronze
United States,2008,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
United States,2008,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
United States,2012,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
France,2000,Summer,Fencing,"Fencing Men's Foil, Team",Gold
North Korea,1992,Summer,Table Tennis,Table Tennis Women's Singles,Bronze
North Korea-1,1992,Summer,Table Tennis,Table Tennis Women's Doubles,Bronze
North Korea,1976,Summer,Boxing,Boxing Men's Light-Flyweight,Silver
North Korea,1980,Summer,Boxing,Boxing Men's Light-Flyweight,Bronze
Hong Kong-2,2004,Summer,Table Tennis,Table Tennis Men's Doubles,Silver
China,1992,Summer,Athletics,Athletics Women's 10 kilometres Walk,Bronze
China,1992,Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
China,2016,Summer,Trampolining,Trampolining Women's Individual,Bronze
China,1992,Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
China,1988,Summer,Diving,Diving Men's Springboard,Bronze
Switzerland,1996,Summer,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
China,1992,Summer,Basketball,Basketball Women's Basketball,Silver
China,1992,Summer,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Silver
China,1996,Summer,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Gold
Chinese Taipei,2000,Summer,Weightlifting,Weightlifting Women's Featherweight,Silver
China,1992,Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
China,1988,Summer,Volleyball,Volleyball Women's Volleyball,Bronze
North Korea,1992,Summer,Boxing,Boxing Men's Bantamweight,Bronze
North Korea,1992,Summer,Wrestling,"Wrestling Men's Flyweight, Freestyle",Gold
North Korea,1972,Summer,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",Gold
North Korea,1980,Summer,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Silver
China,2008,Summer,Weightlifting,Weightlifting Men's Middleweight,Silver
China,2008,Summer,Hockey,Hockey Women's Hockey,Silver
China,1988,Summer,Table Tennis,Table Tennis Women's Singles,Silver
China,2004,Summer,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver
Singapore,2008,Summer,Table Tennis,Table Tennis Women's Team,Silver
Singapore,2012,Summer,Table Tennis,Table Tennis Women's Team,Bronze
China,1998,Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres",Silver
China,1998,Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Bronze
China,2002,Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 1,500 metres",Silver
China,2002,Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Bronze
China,2006,Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 1,500 metres",Bronze
China,2014,Winter,Short Track Speed Skating,Short Track Speed Skating Women's 500 metres,Gold
China,2004,Summer,Shooting,"Shooting Men's Air Rifle, 10 metres",Silver
China,1992,Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
China,1992,Summer,Gymnastics,Gymnastics Men's Parallel Bars,Silver
China,1992,Summer,Gymnastics,Gymnastics Men's Rings,Silver
China,1988,Summer,Weightlifting,Weightlifting Men's Lightweight,Bronze
China,2012,Summer,Boxing,Boxing Women's Middleweight,Bronze
China,2000,Summer,Table Tennis,Table Tennis Women's Singles,Silver
China-1,2000,Summer,Table Tennis,Table Tennis Women's Doubles,Gold
China,2008,Summer,Volleyball,Volleyball Women's Volleyball,Bronze
China,1984,Summer,Diving,Diving Men's Platform,Bronze
China,1984,Summer,Handball,Handball Women's Handball,Bronze
China,1984,Summer,Archery,Archery Women's Individual,Silver
China,1988,Summer,Athletics,Athletics Women's Shot Put,Bronze
China,2000,Summer,Diving,Diving Women's Platform,Silver
China,2000,Summer,Diving,Diving Women's Synchronized Platform,Gold
China,2000,Summer,Fencing,"Fencing Women's epee, Team",Bronze
China,2012,Summer,Fencing,"Fencing Women's epee, Team",Gold
China,2006,Winter,Freestyle Skiing,Freestyle Skiing Women's Aerials,Silver
China,2010,Winter,Freestyle Skiing,Freestyle Skiing Women's Aerials,Silver
China,1984,Summer,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
China,1984,Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
China,1984,Summer,Gymnastics,Gymnastics Men's Floor Exercise,Gold
China,1984,Summer,Gymnastics,Gymnastics Men's Horse Vault,Silver
China,1984,Summer,Gymnastics,Gymnastics Men's Rings,Gold
China,1984,Summer,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
China,2016,Summer,Boxing,Boxing Women's Middleweight,Bronze
China,1988,Summer,Diving,Diving Women's Springboard,Silver
China,1988,Summer,Rowing,Rowing Women's Coxed Fours,Silver
China,1988,Summer,Rowing,Rowing Women's Coxed Eights,Bronze
China,2004,Summer,Volleyball,Volleyball Women's Volleyball,Gold
China,2008,Summer,Gymnastics,Gymnastics Women's Team All-Around,Gold
China,2008,Summer,Hockey,Hockey Women's Hockey,Silver
China,2000,Summer,Judo,Judo Women's Half-Middleweight,Silver
China-1,2004,Summer,Tennis,Tennis Women's Doubles,Gold
China,2004,Summer,Diving,Diving Women's Synchronized Platform,Gold
China,2008,Summer,Archery,Archery Men's Team,Bronze
China,2016,Summer,Synchronized Swimming,Synchronized Swimming Women's Team,Silver
China,2000,Summer,Gymnastics,Gymnastics Men's Team All-Around,Gold
China,2000,Summer,Gymnastics,Gymnastics Men's Parallel Bars,Gold
China,2004,Summer,Gymnastics,Gymnastics Men's Parallel Bars,Bronze
China,2008,Summer,Gymnastics,Gymnastics Men's Team All-Around,Gold
China,2008,Summer,Gymnastics,Gymnastics Men's Parallel Bars,Gold
China,1984,Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
China,1984,Summer,Basketball,Basketball Women's Basketball,Bronze
China,1992,Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
China,1992,Summer,Gymnastics,Gymnastics Men's Floor Exercise,Gold
China,1992,Summer,Gymnastics,Gymnastics Men's Rings,Bronze
China,1996,Summer,Gymnastics,Gymnastics Men's Individual All-Around,Gold
China,1996,Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
China,1996,Summer,Gymnastics,Gymnastics Men's Floor Exercise,Silver
China,2012,Summer,Table Tennis,Table Tennis Women's Singles,Gold
China,2012,Summer,Table Tennis,Table Tennis Women's Team,Gold
China,2016,Summer,Table Tennis,Table Tennis Women's Singles,Silver
China,2016,Summer,Table Tennis,Table Tennis Women's Team,Gold
China,1992,Summer,Basketball,Basketball Women's Basketball,Silver
China,2012,Summer,Swimming,Swimming Women's 400 metres Individual Medley,Bronze
China,2012,Summer,Badminton,Badminton Women's Singles,Gold
China,2012,Summer,Weightlifting,Weightlifting Women's Lightweight,Gold
China,1996,Summer,Volleyball,Volleyball Women's Volleyball,Silver
China,1992,Winter,Short Track Speed Skating,Short Track Speed Skating Women's 500 metres,Silver
China,2012,Summer,Athletics,Athletics Women's Discus Throw,Bronze
China,1984,Summer,Volleyball,Volleyball Women's Volleyball,Gold
China,2002,Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Bronze
China-2,1992,Summer,Badminton,Badminton Men's Doubles,Bronze
China,2016,Summer,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Bronze
China,1984,Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
China,1988,Summer,Volleyball,Volleyball Women's Volleyball,Bronze
China,2012,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
China,1984,Summer,Shooting,"Shooting Men's Running Target, 50 metres",Gold
China,1992,Summer,Judo,Judo Women's Half-Lightweight,Bronze
China,2004,Summer,Weightlifting,Weightlifting Women's Flyweight,Silver
Norway,1948,Winter,Speed Skating,"Speed Skating Men's 5,000 metres",Gold
China,2000,Summer,Fencing,"Fencing Women's epee, Team",Bronze
China,2016,Summer,Synchronized Swimming,Synchronized Swimming Women's Team,Silver
China,1984,Summer,Volleyball,Volleyball Women's Volleyball,Gold
China,2008,Summer,Weightlifting,Weightlifting Men's Lightweight,Gold
Chinese Taipei,1992,Summer,Baseball,Baseball Men's Baseball,Silver
Ukraine,2004,Summer,Handball,Handball Women's Handball,Bronze
Czechoslovakia,1984,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Czechoslovakia,1992,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Jupiter,1932,Summer,Sailing,Sailing Mixed Two Person Keelboat,Gold
United States,1912,Summer,Shooting,"Shooting Men's Running Target, Single Shot, Team",Silver
France,1956,Summer,Boxing,Boxing Men's Flyweight,Bronze
Norway,1908,Summer,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Gold
Norway,1912,Summer,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Silver
Norway,1920,Summer,Shooting,"Shooting Men's Running Target, Single Shot, Team",Gold
Norway,1920,Summer,Shooting,"Shooting Men's Running Target, Double Shot",Bronze
Norway,1920,Summer,Shooting,"Shooting Men's Running Target, Double Shot, Team",Gold
Norway,1924,Summer,Shooting,"Shooting Men's Running Target, Single Shot, Team",Gold
Norway,1924,Summer,Shooting,"Shooting Men's Running Target, Double Shot, Team",Silver
West Germany,1968,Summer,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Silver
West Germany,1972,Summer,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
Austria,1936,Summer,Handball,Handball Men's Handball,Silver
Romania,1952,Summer,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Bronze
Romania,1956,Summer,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Bronze
Hungary,1924,Summer,Fencing,"Fencing Men's Foil, Team",Bronze
Czechoslovakia,1964,Summer,Football,Football Men's Football,Silver
Czechoslovakia,1980,Summer,Football,Football Men's Football,Gold
Romania,1972,Summer,Handball,Handball Men's Handball,Bronze
Romania,1976,Summer,Handball,Handball Men's Handball,Silver
Poland,1980,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Norway,1994,Winter,Freestyle Skiing,Freestyle Skiing Women's Aerials,Bronze
Sweden,2012,Summer,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
Canada,1932,Summer,Rowing,Rowing Men's Coxed Eights,Bronze
Great Britain,1924,Summer,Athletics,Athletics Men's 200 metres,Bronze
Great Britain,1924,Summer,Athletics,Athletics Men's 400 metres,Gold
United States,1984,Summer,Judo,Judo Men's Extra-Lightweight,Bronze
Sweden,2006,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Norway,1912,Summer,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
Norway,1912,Summer,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
Pan,1948,Summer,Sailing,Sailing Mixed Three Person Keelboat,Gold
Pan,1952,Summer,Sailing,Sailing Mixed Three Person Keelboat,Gold
United States,1924,Summer,Athletics,Athletics Men's Discus Throw,Bronze
United States,1976,Summer,Basketball,Basketball Women's Basketball,Silver
East Germany,1980,Summer,Football,Football Men's Football,Silver
Austria,1952,Summer,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
Switzerland,2008,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
Berliner Ruderverein von 1876-2,1912,Summer,Rowing,Rowing Men's Coxed Eights,Bronze
Germany,2016,Summer,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
Sweden,1948,Summer,Football,Football Men's Football,Gold
United States,1952,Summer,Basketball,Basketball Men's Basketball,Gold
Germany,2016,Summer,Rowing,Rowing Women's Quadruple Sculls,Gold
Germany,1912,Summer,Athletics,Athletics Men's High Jump,Silver
Finland,1924,Summer,Athletics,"Athletics Men's 3,000 metres, Team",Gold
United States,2006,Winter,Alpine Skiing,Alpine Skiing Men's Combined,Gold
United States,2014,Winter,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Gold
Germany,1964,Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Bronze
Germany,1964,Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
West Germany,1972,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
West Germany,1984,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
Canada,2008,Summer,Rowing,Rowing Men's Coxed Eights,Gold
United States,1904,Summer,Athletics,Athletics Men's 800 metres,Gold
United States,1904,Summer,Athletics,"Athletics Men's 1,500 metres",Gold
United States,1904,Summer,Athletics,"Athletics Men's 2,590 metres Steeplechase",Gold
Chicago Athletic Association,1904,Summer,Athletics,"Athletics Men's 4 mile, Team",Silver
United States,1906,Summer,Athletics,Athletics Men's 800 metres,Silver
United States,1906,Summer,Athletics,"Athletics Men's 1,500 metres",Gold
Mohawk Indians-2,1904,Summer,Lacrosse,Lacrosse Men's Lacrosse,Bronze
France,2000,Summer,Synchronized Swimming,Synchronized Swimming Women's Duet,Bronze
Netherlands,2016,Summer,Cycling,Cycling Women's Keirin,Gold
Finland,1932,Winter,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Silver
Finland,1920,Summer,Athletics,"Athletics Men's Cross-Country, Individual",Bronze
Finland,1920,Summer,Athletics,"Athletics Men's Cross-Country, Team",Gold
Finland,1924,Summer,Athletics,"Athletics Men's Cross-Country, Team",Gold
Soviet Union,1972,Summer,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
Russia,2006,Winter,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Bronze
Ethiopia,2016,Summer,Athletics,Athletics Men's Marathon,Silver
Brazil,2000,Summer,Basketball,Basketball Women's Basketball,Bronze
Sweden,1952,Summer,Shooting,Shooting Men's Trap,Bronze
United States,2000,Summer,Sailing,Sailing Mixed Two Person Keelboat,Gold
Sweden,1992,Summer,Handball,Handball Men's Handball,Silver
Finland,1984,Summer,Athletics,Athletics Women's Javelin Throw,Silver
Sweden,2000,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Sweden,1912,Summer,Modern Pentathlon,Modern Pentathlon Men's Individual,Gold
Norway,1920,Summer,Shooting,"Shooting Men's Running Target, Single Shot, Team",Gold
Norway,1920,Summer,Shooting,"Shooting Men's Running Target, Double Shot",Gold
Norway,1920,Summer,Shooting,"Shooting Men's Running Target, Double Shot, Team",Gold
Norway,1924,Summer,Shooting,"Shooting Men's Running Target, Single Shot, Team",Gold
Norway,1924,Summer,Shooting,"Shooting Men's Running Target, Double Shot",Gold
Norway,1924,Summer,Shooting,"Shooting Men's Running Target, Double Shot, Team",Silver
United States,1996,Summer,Football,Football Women's Football,Gold
United States,2000,Summer,Football,Football Women's Football,Silver
United States,2004,Summer,Football,Football Women's Football,Gold
Venezuela,2012,Summer,Fencing,"Fencing Men's epee, Individual",Gold
Romania,2000,Summer,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze
Finland,1960,Summer,Boxing,Boxing Men's Featherweight,Bronze
Indonesia-1,2004,Summer,Badminton,Badminton Men's Doubles,Bronze
Canada,1996,Summer,Swimming,Swimming Women's 200 metres Individual Medley,Silver
Chinese Taipei,1992,Summer,Baseball,Baseball Men's Baseball,Silver
China,2016,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
China,2008,Summer,Badminton,Badminton Men's Singles,Gold
